Running average, density measurements 
2742.5037880420205, 2742.5037880420205
2565.8005028848656, 2389.0972177277104
2758.642718549219, 3144.327149877926
2890.056554531084, 3284.29806247668
2884.5794056652894, 2862.6708102021094
2920.916056678341, 3102.5993117435996
2932.9786137134656, 3005.353955924214
2925.7614264075664, 2875.241115266272
2902.2452175376707, 2714.1155465785037
2934.182343082378, 3221.616472984742
2899.9274211518796, 2557.3782018469
2908.3219491901727, 3000.6617576113963
2881.498855486665, 2559.62173104457
2927.988692073287, 3532.356567699374
2902.943023914377, 2552.30366968964
2889.1053964298308, 2681.5409841616315
2880.9593808098107, 2750.623130889486
2853.8169752472622, 2392.3960806839364
2855.8766310970386, 2892.950436393015
2823.216726935353, 2202.6785478633215
2814.901105150717, 2648.5886694579935
2821.598362923518, 2962.240776152339
2813.0290678417286, 2624.504576042371
2833.377129011193, 3301.3825359088746
2818.6804012239936, 2465.9589343311936
2817.7583606005765, 2794.7073450151497
2820.067500966059, 2880.105150468602
2807.7567836929943, 2475.3674173202517
2805.2658290001714, 2735.519097601135
2799.947821366234, 2645.7255999820545
2799.561006233898, 2787.9565522638222
2790.0162911538105, 2494.1301236711065
2790.4752253344445, 2805.1611191147454
2781.3803471269166, 2481.2493662784905
2775.8636919390287, 2588.297415550838
2778.152958923172, 2858.277303368189
2783.7993520745176, 2987.069505522959
2778.289892715408, 2574.4398964283396
2784.9279757068743, 3037.175129382616
2789.9337599672226, 2985.1593461207854
2788.026116859566, 2711.720392553303
2783.4791819361344, 2597.0548500754385
2778.3642547372997, 2563.537312386244
653064023443, 2721.7046644760903
2786.14562653577, 3199.597791605956
2784.783556646033, 2731.662830946279
2793.140614533015, 3127.42293001229
2790.028524144738, 2662.4328182253907
2799.902480091009, 3214.6086298343776
2790.739239068484, 2396.7198750999246
2788.228621004375, 2677.761426183562
2779.2064047101903, 2373.206671471904
2774.875108271731, 2575.635472102587
2769.1338175496444, 2499.2931536115493
2778.0057426254093, 3203.858146262134
2776.8045451532143, 2717.945869015642
2775.1199798855228, 2690.8917165009398
2773.1412801614506, 2672.2275942337988
2781.4186224360437, 3211.8404207148824
2784.383765076398, 2941.536325015197
2774.537511915395, 2242.839841221219
