Running average, density measurements 
2530.2088421879057, 2530.2088421879057
2357.905668450447, 2185.6024947129886
2426.477447683768, 2563.6210061504094
2730.705974196214, 3643.3915537335515
2586.8090671881687, 2011.2214391559883
2664.087203855474, 3050.477887192001
2537.173130227682, 1775.6886884609298
2528.2095441787374, 2465.464441836124
2556.5604458919984, 2783.3676595980864
2539.6395920614086, 2387.3519075861013
2485.0040477357943, 1938.6486044796509
2478.3860779337283, 2405.588410111001
2478.034778727186, 2473.8191882486785
2481.5687532263946, 2527.5104217161033
2435.156124699496, 1785.379325322918
2487.960659337478, 3280.0286789072056
2459.250670258753, 1999.8908449991607
2444.1431764666386, 2187.3157820006863
2441.8635076832397, 2400.8294695820623
2478.7305353784914, 3179.204061588272
2463.3966369824775, 2156.7186690622066
2493.918971706285, 3134.888000906243
2500.2377147696366, 2639.2500621633753
2568.507049706086, 4138.701753244416
2566.571271770357, 2520.112601312861
2570.378306966205, 2665.5541868624077
2606.071462110151, 3534.0934958527446
2602.6931764101682, 2511.4794625106356
2588.4421499875853, 2189.413410155265
2587.3869868149777, 2556.787254809362
2577.303344722526, 2274.7940819489786
2575.088926909261, 2506.441974698032
2573.8350792665838, 2533.711954700918
2575.8206454525025, 2641.3443295878283
2573.2690689476353, 2486.515467782148
2572.462509011862, 2544.23291125979
2596.0693051361495, 3445.9139656105076
2580.7736242286546, 2014.8334306513493
2599.400550464217, 3307.2237474155713
2591.013120386964, 2263.9033473741038
2582.5338507213155, 2243.363064095367
2600.8427162263415, 3351.506201932411
2617.639381144146, 3323.0993076919244
2606.3698661528233, 2121.7807215259613
2607.2133023715896, 2644.3244959972944
2606.7834903490375, 2587.441949334199
2609.6371592939486, 2740.90593075985
2613.5748808821118, 2798.647795525781
2619.550977003037, 2906.403590807459
2629.3973588180206, 3111.8700677522056
2632.923751726707, 2809.2433971610417
2640.6944924674704, 3037.002270246384
2665.3769087371043, 3948.862554758058
2656.913867497939, 2208.3726818221817
2665.2991922755064, 3118.1067302641386
2666.749663164777, 2746.525562074676
2659.5389840162898, 2255.740951701013
2660.086032837051, 2691.2678156204297
2669.942886865915, 3241.6404205400554
2665.897815767792, 2427.2386209785245
2682.0837655616697, 3653.2407531943286
2680.9447271631175, 2611.4633848514436
2679.531618252185, 2591.918865774384
2674.7707353291935, 2374.835111180694
2669.9182018915762, 2359.3560618840793
2669.8683874008548, 2666.6304455039576
2669.976260696858, 2677.095898233073
2663.892285031391, 2256.2659154451126
2655.2139170940645, 2065.0848973558604
2657.195076231741, 2793.8950567314423
2664.327524501075, 3163.5989033544233
2662.886912277692, 2560.6034444174716
2661.4174657189033, 2555.617313486103
2659.7091358722773, 2535.0010570685913
